time_ms,frame_time_ms,source_fps,latency_ms,new_frame,video_w,video_h,bitrate_mbps,total_frames,dropped_frames,audio_queue,audio_underruns
61123.587,4.408,41.4,12.098,1,498,1080,0.05,888,0,0,0
61137.488,1.601,41.4,0.000,0,498,1080,0.05,889,0,0,0
61156.012,3.457,41.4,11.232,1,498,1080,0.05,890,0,0,0
61170.738,1.516,41.4,0.000,0,498,1080,0.05,891,0,0,0
61192.750,6.861,41.4,15.804,1,498,1080,0.05,892,0,0,0
61204.222,1.665,41.4,0.000,0,498,1080,0.05,893,0,0,0
61223.817,4.593,41.4,13.853,1,498,1080,0.05,894,0,0,0
61237.965,2.069,41.4,0.000,0,498,1080,0.05,895,0,0,0
61260.143,7.579,41.4,15.209,1,498,1080,0.05,896,0,0,0
61271.125,1.894,41.4,0.000,0,498,1080,0.05,897,0,0,0
61291.743,5.846,41.4,14.043,1,498,1080,0.05,898,0,0,0
61305.339,2.773,41.4,0.000,0,498,1080,0.05,899,0,0,0
61325.335,6.094,41.4,14.782,1,498,1080,0.05,900,0,0,0
61339.043,3.126,41.4,0.000,0,498,1080,0.05,901,0,0,0
61358.747,6.161,41.4,14.809,1,498,1080,0.05,902,0,0,0
61371.034,1.782,41.4,0.000,0,498,1080,0.05,903,0,0,0
61392.037,6.117,41.4,15.095,1,498,1080,0.05,904,0,0,0
61404.348,1.731,41.4,0.000,0,498,1080,0.05,905,0,0,0
61425.596,6.312,41.4,14.654,1,498,1080,0.05,906,0,0,0
61438.645,2.619,41.4,0.000,0,498,1080,0.05,907,0,0,0
61461.111,8.417,59.9,15.953,1,498,1080,0.07,909,0,0,0
61470.370,1.010,59.9,0.000,0,498,1080,0.07,909,0,0,0
61490.458,4.429,59.9,13.633,1,498,1080,0.07,910,0,0,0
61505.912,3.216,59.9,0.000,0,498,1080,0.07,911,0,0,0
61527.182,7.819,59.9,16.814,1,498,1080,0.07,913,0,0,0
61537.400,1.369,59.9,0.000,0,498,1080,0.07,913,0,0,0
61560.028,7.330,59.9,15.577,1,498,1080,0.07,914,0,0,0
61570.713,1.347,59.9,0.000,0,498,1080,0.07,915,0,0,0
61588.896,2.863,59.9,11.802,1,498,1080,0.07,916,0,0,0
61607.525,4.819,59.9,13.388,1,498,1080,0.07,917,0,0,0
61622.446,3.073,59.9,0.000,0,498,1080,0.07,918,0,0,0
61642.261,6.221,59.9,14.732,1,498,1080,0.07,919,0,0,0
61654.752,2.044,59.9,0.000,0,498,1080,0.07,920,0,0,0
61679.926,10.551,59.9,19.391,1,498,1080,0.07,922,0,0,0
61687.321,1.279,59.9,0.000,0,498,1080,0.07,922,0,0,0
61707.460,4.725,59.9,11.634,1,498,1080,0.07,923,0,0,0
61720.461,1.059,59.9,0.000,0,498,1080,0.07,924,0,0,0
61743.561,7.491,59.9,16.475,1,498,1080,0.07,925,0,0,0
61753.912,1.175,59.9,0.000,0,498,1080,0.07,926,0,0,0
61777.328,7.924,59.9,16.996,1,498,1080,0.07,928,0,0,0
61788.050,1.976,59.9,0.000,0,498,1080,0.07,928,0,0,0
61806.859,4.118,59.9,11.609,1,498,1080,0.07,929,0,0,0
61821.185,1.776,59.9,0.000,0,498,1080,0.07,930,0,0,0
61839.747,3.670,59.9,29.009,1,498,1080,0.07,930,0,0,0
61854.392,1.649,59.9,0.000,0,498,1080,0.07,932,0,0,0
61872.645,3.235,59.9,10.088,1,498,1080,0.07,933,0,0,0
61889.754,3.675,59.9,12.855,1,498,1080,0.07,934,0,0,0
61904.938,2.191,59.9,0.000,0,498,1080,0.07,934,0,0,0
61923.461,4.046,59.9,6.856,1,498,1080,0.07,936,0,0,0
61937.774,1.693,59.9,0.000,0,498,1080,0.07,937,0,0,0
61955.965,3.214,59.9,11.379,1,498,1080,0.07,938,0,0,0
61970.833,1.415,59.9,0.000,0,498,1080,0.07,939,0,0,0
61990.940,4.855,59.9,12.385,1,498,1080,0.07,940,0,0,0
62004.010,1.258,59.9,0.000,0,498,1080,0.07,940,0,0,0
62020.516,1.096,59.9,0.000,0,498,1080,0.07,940,0,0,0
62037.108,1.022,59.9,0.000,0,498,1080,0.07,940,0,0,0
62056.425,3.671,59.9,4.574,1,498,1080,0.07,944,0,0,0
62071.478,2.057,59.9,0.000,0,498,1080,0.07,945,0,0,0
62089.132,3.044,59.9,10.477,1,498,1080,0.07,946,0,0,0
62103.741,0.986,59.9,0.000,0,498,1080,0.07,947,0,0,0
62123.562,4.139,59.9,12.490,1,498,1080,0.07,948,0,0,0
62138.458,2.368,59.9,0.000,0,498,1080,0.07,949,0,0,0
62156.637,3.879,59.9,12.052,1,498,1080,0.07,950,0,0,0
62170.481,1.056,59.9,0.000,0,498,1080,0.07,951,0,0,0
62189.703,3.611,59.9,12.264,1,498,1080,0.07,952,0,0,0
62204.003,1.243,59.9,0.000,0,498,1080,0.07,953,0,0,0
62223.959,4.531,59.9,13.089,1,498,1080,0.07,954,0,0,0
62237.782,1.687,59.9,0.000,0,498,1080,0.07,955,0,0,0
62259.933,7.171,59.9,14.769,1,498,1080,0.07,956,0,0,0
62270.853,1.410,59.9,0.000,0,498,1080,0.07,957,0,0,0
62289.267,3.156,59.9,11.373,1,498,1080,0.07,958,0,0,0
62305.164,2.385,59.9,0.000,0,498,1080,0.07,959,0,0,0
62323.502,4.055,59.9,12.577,1,498,1080,0.07,960,0,0,0
62337.503,1.388,59.9,0.000,0,498,1080,0.07,961,0,0,0
62359.703,6.920,59.9,14.971,1,498,1080,0.07,962,0,0,0
62371.035,1.585,59.9,0.000,0,498,1080,0.07,963,0,0,0
62390.111,3.993,59.9,11.668,1,498,1080,0.07,964,0,0,0
62403.758,0.973,59.9,0.000,0,498,1080,0.07,965,0,0,0
62425.278,5.796,59.9,13.454,1,498,1080,0.07,966,0,0,0
62437.529,1.381,59.9,0.000,0,498,1080,0.07,967,0,0,0
